ranking,title,url
1,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/
2,The Godfather,https://www.imdb.com/title/tt0068646/
3,The Dark Knight,https://www.imdb.com/title/tt0468569/
4,The Godfather Part II,https://www.imdb.com/title/tt0071562/
5,12 Angry Men,https://www.imdb.com/title/tt0050083/
6,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/
7,Schindler's List,https://www.imdb.com/title/tt0108052/
8,Pulp Fiction,https://www.imdb.com/title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/
10,"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/
11,Forrest Gump,https://www.imdb.com/title/tt0109830/
12,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/
13,Fight Club,https://www.imdb.com/title/tt0137523/
14,Inception,https://www.imdb.com/title/tt1375666/
15,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/
16,The Matrix,https://www.imdb.com/title/tt0133093/
17,GoodFellas,https://www.imdb.com/title/tt0099685/
18,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/
19,Interstellar,https://www.imdb.com/title/tt0816692/
20,Seven,https://www.imdb.com/title/tt0114369/
21,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/
22,Seven Samurai,https://www.imdb.com/title/tt0047478/
23,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/
24,Saving Private Ryan,https://www.imdb.com/title/tt0120815/
25,City of God,https://www.imdb.com/title/tt0317248/
26,The Green Mile,https://www.imdb.com/title/tt0120689/
27,Life Is Beautiful,https://www.imdb.com/title/tt0118799/
28,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/
29,Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/
30,Back to the Future,https://www.imdb.com/title/tt0088763/
31,Spirited Away,https://www.imdb.com/title/tt0245429/
32,The Pianist,https://www.imdb.com/title/tt0253474/
33,Gladiator,https://www.imdb.com/title/tt0172495/
34,Parasite,https://www.imdb.com/title/tt6751668/
35,Psycho,https://www.imdb.com/title/tt0054215/
36,The Lion King,https://www.imdb.com/title/tt0110357/
37,Grave of the Fireflies,https://www.imdb.com/title/tt0095327/
38,The Departed,https://www.imdb.com/title/tt0407887/
39,Whiplash,https://www.imdb.com/title/tt2582802/
40,Harakiri,https://www.imdb.com/title/tt0056058/
41,American History X,https://www.imdb.com/title/tt0120586/
42,The Prestige,https://www.imdb.com/title/tt0482571/
43,Leon,https://www.imdb.com/title/tt0110413/
44,Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/
45,Casablanca,https://www.imdb.com/title/tt0034583/
46,The Usual Suspects,https://www.imdb.com/title/tt0114814/
47,Untouchable,https://www.imdb.com/title/tt1675434/
48,Cinema Paradiso,https://www.imdb.com/title/tt0095765/
49,Modern Times,https://www.imdb.com/title/tt0027977/
50,Alien,https://www.imdb.com/title/tt0078748/
51,Rear Window,https://www.imdb.com/title/tt0047396/
52,Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/
53,Django Unchained,https://www.imdb.com/title/tt1853728/
54,City Lights,https://www.imdb.com/title/tt0021749/
55,Apocalypse Now,https://www.imdb.com/title/tt0078788/
56,Dune: Part Two,https://www.imdb.com/title/tt15239678/
57,Memento,https://www.imdb.com/title/tt0209144/
58,WALL·E,https://www.imdb.com/title/tt0910970/
59,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/
60,The Lives of Others,https://www.imdb.com/title/tt0405094/
61,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/
62,Sunset Blvd.,https://www.imdb.com/title/tt0043014/
63,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/
64,Paths of Glory,https://www.imdb.com/title/tt0050825/
65,Witness for the Prosecution,https://www.imdb.com/title/tt0051201/
66,The Shining,https://www.imdb.com/title/tt0081505/
67,The Great Dictator,https://www.imdb.com/title/tt0032553/
68,12th Fail,https://www.imdb.com/title/tt23849204/
69,Aliens,https://www.imdb.com/title/tt0090605/
70,Inglourious Basterds,https://www.imdb.com/title/tt0361748/
71,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/
72,Coco,https://www.imdb.com/title/tt2380307/
73,Amadeus,https://www.imdb.com/title/tt0086879/
74,Toy Story,https://www.imdb.com/title/tt0114709/
75,Avengers: Endgame,https://www.imdb.com/title/tt4154796/
76,Oldboy,https://www.imdb.com/title/tt0364569/
77,Good Will Hunting,https://www.imdb.com/title/tt0119217/
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/
79,American Beauty,https://www.imdb.com/title/tt0169547/
80,Das Boot,https://www.imdb.com/title/tt0082096/
81,Braveheart,https://www.imdb.com/title/tt0112573/
82,Princess Mononoke,https://www.imdb.com/title/tt0119698/
83,Your Name.,https://www.imdb.com/title/tt5311514/
84,High and Low,https://www.imdb.com/title/tt0057565/
85,3 Idiots,https://www.imdb.com/title/tt1187043/
86,Joker,https://www.imdb.com/title/tt7286456/
87,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/
88,Capernaum,https://www.imdb.com/title/tt8267604/
89,Singin' in the Rain,https://www.imdb.com/title/tt0045152/
90,Come and See,https://www.imdb.com/title/tt0091251/
91,Requiem for a Dream,https://www.imdb.com/title/tt0180093/
92,Toy Story 3,https://www.imdb.com/title/tt0435761/
93,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/
94,The Hunt,https://www.imdb.com/title/tt2106476/
95,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/
96,Ikiru,https://www.imdb.com/title/tt0044741/
97,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/
98,Reservoir Dogs,https://www.imdb.com/title/tt0105236/
99,The Apartment,https://www.imdb.com/title/tt0053604/
100,Incendies,https://www.imdb.com/title/tt1255953/
101,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/
102,Scarface,https://www.imdb.com/title/tt0086250/
103,Double Indemnity,https://www.imdb.com/title/tt0036775/
104,North by Northwest,https://www.imdb.com/title/tt0053125/
105,Heat,https://www.imdb.com/title/tt0113277/
106,Citizen Kane,https://www.imdb.com/title/tt0033467/
107,Up,https://www.imdb.com/title/tt1049413/
108,M,https://www.imdb.com/title/tt0022100/
109,Full Metal Jacket,https://www.imdb.com/title/tt0093058/
110,Vertigo,https://www.imdb.com/title/tt0052357/
111,Amélie,https://www.imdb.com/title/tt0211915/
112,A Clockwork Orange,https://www.imdb.com/title/tt0066921/
113,A Separation,https://www.imdb.com/title/tt1832382/
114,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/
115,Oppenheimer,https://www.imdb.com/title/tt15398776/
116,Die Hard,https://www.imdb.com/title/tt0095016/
117,The Sting,https://www.imdb.com/title/tt0070735/
118,Like Stars on Earth,https://www.imdb.com/title/tt0986264/
119,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/
120,Metropolis,https://www.imdb.com/title/tt0017136/
121,Snatch,https://www.imdb.com/title/tt0208092/
122,1917,https://www.imdb.com/title/tt8579674/
123,L.A. Confidential,https://www.imdb.com/title/tt0119488/
124,Bicycle Thieves,https://www.imdb.com/title/tt0040522/
125,Downfall,https://www.imdb.com/title/tt0363163/
126,Dangal,https://www.imdb.com/title/tt5074352/
127,Taxi Driver,https://www.imdb.com/title/tt0075314/
128,Hamilton,https://www.imdb.com/title/tt8503618/
129,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/
130,Batman Begins,https://www.imdb.com/title/tt0372784/
131,Green Book,https://www.imdb.com/title/tt6966692/
132,For a Few Dollars More,https://www.imdb.com/title/tt0059578/
133,Some Like It Hot,https://www.imdb.com/title/tt0053291/
134,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/
135,The Truman Show,https://www.imdb.com/title/tt0120382/
136,The Kid,https://www.imdb.com/title/tt0012349/
137,Shutter Island,https://www.imdb.com/title/tt1130884/
138,The Father,https://www.imdb.com/title/tt10272386/
139,I'm Still Here,https://www.imdb.com/title/tt14961016/
140,All About Eve,https://www.imdb.com/title/tt0042192/
141,Jurassic Park,https://www.imdb.com/title/tt0107290/
142,There Will Be Blood,https://www.imdb.com/title/tt0469494/
143,Casino,https://www.imdb.com/title/tt0112641/
144,The Sixth Sense,https://www.imdb.com/title/tt0167404/
145,Ran,https://www.imdb.com/title/tt0089881/
146,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/
147,No Country for Old Men,https://www.imdb.com/title/tt0477348/
148,The Thing,https://www.imdb.com/title/tt0084787/
149,Pan's Labyrinth,https://www.imdb.com/title/tt0457430/
150,Unforgiven,https://www.imdb.com/title/tt0105695/
151,A Beautiful Mind,https://www.imdb.com/title/tt0268978/
152,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/
153,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/
154,Yojimbo,https://www.imdb.com/title/tt0055630/
155,Prisoners,https://www.imdb.com/title/tt1392214/
156,Finding Nemo,https://www.imdb.com/title/tt0266543/
157,The Great Escape,https://www.imdb.com/title/tt0057115/
158,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/
159,Howl's Moving Castle,https://www.imdb.com/title/tt0347149/
160,The Elephant Man,https://www.imdb.com/title/tt0080678/
161,Dial M for Murder,https://www.imdb.com/title/tt0046912/
162,Gone with the Wind,https://www.imdb.com/title/tt0031381/
163,Rashomon,https://www.imdb.com/title/tt0042876/
164,Klaus,https://www.imdb.com/title/tt4729430/
165,Chinatown,https://www.imdb.com/title/tt0071315/
166,The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/
167,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/
168,V for Vendetta,https://www.imdb.com/title/tt0434409/
169,Inside Out,https://www.imdb.com/title/tt2096673/
170,The Wild Robot,https://www.imdb.com/title/tt29623480/
171,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/
172,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/
173,Trainspotting,https://www.imdb.com/title/tt0117951/
174,Raging Bull,https://www.imdb.com/title/tt0081398/
175,Catch Me If You Can,https://www.imdb.com/title/tt0264464/
176,Fargo,https://www.imdb.com/title/tt0116282/
177,Warrior,https://www.imdb.com/title/tt1291584/
178,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/
179,Gran Torino,https://www.imdb.com/title/tt1205489/
180,Million Dollar Baby,https://www.imdb.com/title/tt0405159/
181,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/
182,My Neighbour Totoro,https://www.imdb.com/title/tt0096283/
183,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/
184,Ben-Hur,https://www.imdb.com/title/tt0052618/
185,Children of Heaven,https://www.imdb.com/title/tt0118849/
186,Barry Lyndon,https://www.imdb.com/title/tt0072684/
187,12 Years a Slave,https://www.imdb.com/title/tt2024544/
188,Before Sunrise,https://www.imdb.com/title/tt0112471/
189,Blade Runner,https://www.imdb.com/title/tt0083658/
190,Dead Poets Society,https://www.imdb.com/title/tt0097165/
191,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/
192,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/
193,Gone Girl,https://www.imdb.com/title/tt2267998/
194,Memories of Murder,https://www.imdb.com/title/tt0353969/
195,In the Name of the Father,https://www.imdb.com/title/tt0107207/
196,"Monsters, Inc.",https://www.imdb.com/title/tt0198781/
197,Ratatouille,https://www.imdb.com/title/tt0382932/
198,The Gold Rush,https://www.imdb.com/title/tt0015864/
199,Wild Tales,https://www.imdb.com/title/tt3011894/
200,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/
201,Sherlock Jr.,https://www.imdb.com/title/tt0015324/
202,Jaws,https://www.imdb.com/title/tt0073195/
203,Mary and Max,https://www.imdb.com/title/tt0978762/
204,The Deer Hunter,https://www.imdb.com/title/tt0077416/
205,The General,https://www.imdb.com/title/tt0017925/
206,Le Mans '66,https://www.imdb.com/title/tt1950186/
207,The Wages of Fear,https://www.imdb.com/title/tt0046268/
208,On the Waterfront,https://www.imdb.com/title/tt0047296/
209,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/
210,Wild Strawberries,https://www.imdb.com/title/tt0050986/
211,Logan,https://www.imdb.com/title/tt3315342/
212,The Third Man,https://www.imdb.com/title/tt0041959/
213,Maharaja,https://www.imdb.com/title/tt26548265/
214,Rocky,https://www.imdb.com/title/tt0075148/
215,Tokyo Story,https://www.imdb.com/title/tt0046438/
216,The Big Lebowski,https://www.imdb.com/title/tt0118715/
217,Spotlight,https://www.imdb.com/title/tt1895587/
218,The Seventh Seal,https://www.imdb.com/title/tt0050976/
219,The Terminator,https://www.imdb.com/title/tt0088247/
220,Room,https://www.imdb.com/title/tt3170832/
221,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/
222,La haine,https://www.imdb.com/title/tt0113247/
223,Jai Bhim,https://www.imdb.com/title/tt15097216/
224,Hotel Rwanda,https://www.imdb.com/title/tt0395169/
225,Platoon,https://www.imdb.com/title/tt0091763/
226,Before Sunset,https://www.imdb.com/title/tt0381681/
227,The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/
228,The Exorcist,https://www.imdb.com/title/tt0070047/
229,The Passion of Joan of Arc,https://www.imdb.com/title/tt0019254/
230,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,https://www.imdb.com/title/tt16492678/
231,The Wizard of Oz,https://www.imdb.com/title/tt0032138/
232,The Incredibles,https://www.imdb.com/title/tt0317705/
233,The Sound of Music,https://www.imdb.com/title/tt0059742/
234,Rush,https://www.imdb.com/title/tt1979320/
235,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/
236,Stand by Me,https://www.imdb.com/title/tt0092005/
237,Network,https://www.imdb.com/title/tt0074958/
238,My Father and My Son,https://www.imdb.com/title/tt0476735/
239,The Handmaiden,https://www.imdb.com/title/tt4016934/
240,The Iron Giant,https://www.imdb.com/title/tt0129167/
241,To Be or Not to Be,https://www.imdb.com/title/tt0035446/
242,The Battle of Algiers,https://www.imdb.com/title/tt0058946/
243,Into the Wild,https://www.imdb.com/title/tt0758758/
244,The Grapes of Wrath,https://www.imdb.com/title/tt0032551/
245,Groundhog Day,https://www.imdb.com/title/tt0107048/
246,A Silent Voice,https://www.imdb.com/title/tt5323662/
247,The Help,https://www.imdb.com/title/tt1454029/
248,Amores perros,https://www.imdb.com/title/tt0245712/
249,Rebecca,https://www.imdb.com/title/tt0032976/
250,Drishyam,https://www.imdb.com/title/tt4430212/
